ADD/CHG/DEL/WDR;Unique UN Assigned ID; ABIE/ BBIE/ ASBIE/ACC/BCC/ASCC/DT/CC/SC;Dictionary Entry Name (auto generated);Definition Mandatory;Working comments and instructions;Publication comments;Object Class Term Qualifier(s);Object Class Term;Property Term Qualifier(s);Property Term;Datatype Qualifier(s);Representation Term;Qualified Data Type UID;Associated Object Class Term Qualifier(s);Associated Object Class;Business Term(s);Usage Rule(s);Sequence Number;Occurrence Min;Occurrence Max;Context Categories Mandatory for BIE's;;;;;;;;;;;;;;;;;;;;;;;;Facets To restrict the set of values of Content Component or Supplementary Components;;;;;;;;;;;;;
;UN01001303;BBIE;Allowance Charge_ Currency Exchange. Market. Identifier;The unique identifier of the currency exchange market from which the exchange rate is taken for this allowance charge currency exchange.;;;Allowance Charge;Currency Exchange;;Market;;Identifier;;;;;;;0;1;Trade;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01001304;BBIE;Allowance Charge_ Currency Exchange. Conversion. Rate;The rate factor used for conversion from the source currency to the target currency of this allowance charge currency exchange.;;;Allowance Charge;Currency Exchange;;Conversion;;Rate;;;;;;;1;1;Trade;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01001305;BBIE;Allowance Charge_ Currency Exchange. Conversion Rate. Date Time;The date, time, date time or other date time value of the conversion rate of this allowance charge currency exchange.;;;Allowance Charge;Currency Exchange;;Conversion Rate;;Date Time;;;;;;;0;1;Trade;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01001306;ASBIE;Allowance Charge_ Currency Exchange. Applicable. Trade_ Contract;The applicable trade contract information for this allowance charge currency exchange.;;;Allowance Charge;Currency Exchange;;Applicable;;;;Trade;Contract;;;;0;1;Trade;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01001307;ABIE;Alternative Payment_ Currency Exchange. Details;Alternative payment currency exchange is the conversion of one currency to another for the alternative payment.;;;Alternative Payment;Currency Exchange;;;;;;;;;;;;;Trade;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01001308;BBIE;Alternative Payment_ Currency Exchange. Source Currency. Code;The code specifying the source currency of this alternative payment currency exchange.;;;Alternative Payment;Currency Exchange;;Source Currency;Currency;Code;UN02000004;;;;ISO 4217 Three Alpha code;;1;1;Trade;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01001309;BBIE;Alternative Payment_ Currency Exchange. Source Unit Basis. Numeric;The numeric unit basis of the source currency used in the currency exchange rate calculation of this alternative payment currency exchange.;;;Alternative Payment;Currency Exchange;;Source Unit Basis;;Numeric;;;;;;;0;1;Trade;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01001310;BBIE;Alternative Payment_ Currency Exchange. Target Currency. Code;The code specifying the target currency of this alternative payment currency exchange.;;;Alternative Payment;Currency Exchange;;Target Currency;Currency;Code;UN02000004;;;;ISO 4217 Three Alpha code;;1;1;Trade;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01001311;BBIE;Alternative Payment_ Currency Exchange. Target Unit Base. Numeric;The numeric unit basis of the target currency used in the currency exchange rate calculation of this alternative payment currency exchange.;;;Alternative Payment;Currency Exchange;;Target Unit Base;;Numeric;;;;;;;0;1;Trade;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01001312;BBIE;Alternative Payment_ Currency Exchange. Market. Identifier;The unique identifier of the currency exchange market from which the exchange rate is taken for this alternative payment currency exchange.;;;Alternative Payment;Currency Exchange;;Market;;Identifier;;;;;;;0;1;Trade;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01001313;BBIE;Alternative Payment_ Currency Exchange. Conversion. Rate;The rate factor used for conversion from the source currency to the target currency of this alternative payment currency exchange.;;;Alternative Payment;Currency Exchange;;Conversion;;Rate;;;;;;;1;1;Trade;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01001314;BBIE;Alternative Payment_ Currency Exchange. Conversion Rate. Date Time;The date, time, date time or other date time value of the conversion rate of this alternative payment currency exchange.;;;Alternative Payment;Currency Exchange;;Conversion Rate;;Date Time;;;;;;;0;1;Trade;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01001315;ASBIE;Alternative Payment_ Currency Exchange. Applicable. Trade_ Contract;The applicable trade contract information for this alternative payment currency exchange.;;;Alternative Payment;Currency Exchange;;Applicable;;;;Trade;Contract;;;;0;1;Trade;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
ADD;UN01002668;ABIE;Analysis_ Referenced_ Document. Details;A reference to a collection of data for a piece of written, printed or electronic matter that provides analytical information or evidence.;;;Analysis_ Referenced;Document;;;;;;;;;;;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;Global;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
ADD;UN01002669;BBIE;Analysis_ Referenced_ Document. Issuer Assigned_ Identification. Identifier;The unique issuer assigned identifier of this analysis referenced document.;;;Analysis_ Referenced;Document;Issuer Assigned;Identification;;Identifier;;;;;;;1;1;In All Contexts;;;In All Contexts;;;In All Contexts;;;Global;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
ADD;UN01002670;BBIE;Analysis_ Referenced_ Document. Issue. Date Time;The date or date time value of the issuance of this analysis referenced document.;;;Analysis_ Referenced;Document;;Issue;Date Mandatory;Date Time;UN02000019;;;;;;1;1;In All Contexts;;;In All Contexts;;;In All Contexts;;;Global;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01000240;ABIE;Application_ Examination Result. Details;The examination results of a detailed inspection of the application, such as registration application, guarantee application, qualification application.;;;Application;Examination Result;;;;;;;;;;;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01000241;BBIE;Application_ Examination Result. Business Administration Capability_ Evaluation Point. Numeric;The numeric evaluation score in this application examination result that represents the business administration capability of the examinee.;;;Application;Examination Result;Business Administration Capability;Evaluation Point;;Numeric;;;;Management Evaluation Points;;;0;1;In All Contexts;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01000242;BBIE;Application_ Examination Result. Technical Capability_ Evaluation Point. Numeric;The numeric evaluation score in this application examination result that represents the technical capability of the examinee.;;;Application;Examination Result;Technical Capability;Evaluation Point;;Numeric;;;;Technical Evaluation Points;;;0;1;In All Contexts;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01000243;BBIE;Application_ Examination Result. Total Capability_ Evaluation Point. Numeric;The numeric evaluation score in this application examination result that represents the total capability of the examinee.;;;Application;Examination Result;Total Capability;Evaluation Point;;Numeric;;;;Total Points;;;0;1;In All Contexts;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01000244;BBIE;Application_ Examination Result. Disqualification_ Reason. Text;The disqualification reason, expressed as text, in this application examination result.;;;Application;Examination Result;Disqualification;Reason;;Text;;;;Reason for Disqualified;;;0;1;In All Contexts;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01000245;BBIE;Application_ Examination Result. Status. Code;The code specifying the status of this application examination result.;;;Application;Examination Result;;Status;;Code;;;;;;;0;1;In All Contexts;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01000246;BBIE;Application_ Examination Result. Business Type. Code;The code specifying the type of business being reported on in this application examination result.;;;Application;Examination Result;;Business Type;;Code;;;;;;;0;1;In All Contexts;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01000247;BBIE;Application_ Examination Result. Approval. Indicator;The indication of whether or not the consequence of this application examination result is approval.;;;Application;Examination Result;;Approval;;Indicator;;;;Examination Result;"The value of Yes will be represented by the binary value ""true"" and the value of No will be represented by the binary value of ""false""";;0;1;In All Contexts;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01000248;BBIE;Application_ Examination Result. Condition. Text;The condition, expressed as text, that has been placed on this examination result.;;;Application;Examination Result;;Condition;;Text;;;;;;;0;1;In All Contexts;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01000261;ABIE;Application_ Organization. Details;The organization which makes an application.;;;Application;Organization;;;;;;;;;;;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01000262;BBIE;Application_ Organization. Business Type. Code;The code specifying the type of business of this application organization.;;;Application;Organization;;Business Type;;Code;;;;;;;0;1;In All Contexts;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01000263;BBIE;Application_ Organization. Name. Text;The name, expressed as text, of this application organization.;;;Application;Organization;;Name;;Text;;;;Company Name;;;1;1;In All Contexts;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01000264;BBIE;Application_ Organization. International_ Name. Text;The international name, expressed as text, of this application organization.;;;Application;Organization;International;Name;;Text;;;;;;;0;1;In All Contexts;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01000265;BBIE;Application_ Organization. Identification. Identifier;The unique identifier for this application organization.;;;Application;Organization;;Identification;;Identifier;;;;Tenderer Qualifier;;;0;1;In All Contexts;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01000266;BBIE;Application_ Organization. Contact Required. Indicator;The indication of whether or not a contact is required for this application organization.;;;Application;Organization;;Contact Required;;Indicator;;;;;;;0;1;In All Contexts;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01000267;ASBIE;Application_ Organization. Authorized. Business Licence_ Registration;The authorized business licence registration information for this application organization.;;;Application;Organization;;Authorized;;;;Business Licence;Registration;;;;0;1;Tendering;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01000268;ASBIE;Application_ Organization. Designated. Tendering_ Contact;A designated contact within the application organization in the tendering process.;;;Application;Organization;;Designated;;;;Tendering;Contact;;;;0;unbounded;Tendering;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01000269;ASBIE;Application_ Organization. Subordinate. Local_ Organization;A local centre which is subordinate to this application organization.;;;Application;Organization;;Subordinate;;;;Local;Organization;;;;0;unbounded;In All Contexts;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01000270;ASBIE;Application_ Organization. Postal. Tendering_ Address;The postal address for this application organization in the tendering process.;;;Application;Organization;;Postal;;;;Tendering;Address;;;;0;1;Tendering;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01000188;ABIE;Applied_ Allowance Charge. Details;The applied allowance or charge component of pricing.;;;Applied;Allowance Charge;;;;;;;;;;;;;Pricing;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01000189;BBIE;Applied_ Allowance Charge. Actual. Amount;The actual monetary value of the applied allowance charge.;;;Applied;Allowance Charge;;Actual;;Amount;;;;;;;0;1;Pricing;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01000190;BBIE;Applied_ Allowance Charge. Description. Text;The textual description of the applied allowance charge.;;;Applied;Allowance Charge;;Description;;Text;;;;;;;0;1;Pricing;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01000191;BBIE;Applied_ Allowance Charge. Reason. Code;The code specifying the reason for this applied allowance charge.;;;Applied;Allowance Charge;;Reason;;Code;;;;;;;0;1;Pricing;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01000192;BBIE;Applied_ Allowance Charge. Calculation. Percent;The percentage used to calculate the applied allowance charge.;;;Applied;Allowance Charge;;Calculation;;Percent;;;;;;;0;1;Pricing;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01000193;BBIE;Applied_ Allowance Charge. Basis. Amount;The monetary value that is the basis on which the applied allowance charge is calculated.;;;Applied;Allowance Charge;;Basis;;Amount;;;;;;;0;1;Pricing;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01000194;BBIE;Applied_ Allowance Charge. Charge. Indicator;The indication of whether or not the applied allowance charge is a charge.;;;Applied;Allowance Charge;;Charge;;Indicator;;;;;;;1;1;Pricing;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01000195;ASBIE;Applied_ Allowance Charge. Category. Applied_ Tax;The applied tax category of this applied allowance charge.;;;Applied;Allowance Charge;;Category;;;;Applied;Tax;;;;0;1;Pricing;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01000183;ABIE;Applied_ Tax. Details;An applied tax is a total levy or payment for the support of a government that is required of persons, groups, or businesses within the domain of that government.;;;Applied;Tax;;;;;;;;;;;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01000184;BBIE;Applied_ Tax. Calculated. Amount;The monetary value resulting from the calculation of the applied tax.;;;Applied;Tax;;Calculated;;Amount;;;;;;;0;1;In All Contexts;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01000185;BBIE;Applied_ Tax. Type. Code;The code specifying the applied tax type such as VAT.;;;Applied;Tax;;Type;;Code;;;;;;;0;1;In All Contexts;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01000186;BBIE;Applied_ Tax. Calculated. Rate;The rate used to calculate the applied tax.;;;Applied;Tax;;Calculated;;Rate;;;;;;;0;1;In All Contexts;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01000187;BBIE;Applied_ Tax. Basis. Amount;The monetary value used as the basis in calculating the applied tax.;;;Applied;Tax;;Basis;;Amount;;;;;;;0;1;In All Contexts;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01002070;BBIE;Applied_ Tax. Tax Point. Date;The date of the tax point when taxes, such as VAT, are to be applied.;;;Applied;Tax;;Tax Point;;Date;;;;;;;0;1;Trade;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01002115;ABIE;Appropriating_ Party. Details;An appropriating party is an individual, a group, or a body that appropriates money.;;;Appropriating;Party;;;;;;;;;;;;;Project Management;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01002116;BBIE;Appropriating_ Party. Identification. Identifier;The unique identifier of this appropriating party.;;;Appropriating;Party;;Identification;;Identifier;;;;;;;0;1;Project Management;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01002117;BBIE;Appropriating_ Party. Name. Text;The name, expressed as text, for this appropriating party.;;;Appropriating;Party;;Name;;Text;;;;;;;0;1;Project Management;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01002118;BBIE;Appropriating_ Party. Description. Text;The textual description of this appropriating party.;;;Appropriating;Party;;Description;;Text;;;;;;;0;1;Project Management;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01002119;BBIE;Appropriating_ Party. Access Rights. Code;The code specifying the access rights, such as unlimited, restricted, prohibited, for this appropriating party.;;;Appropriating;Party;;Access Rights;;Code;;;;;;;0;1;Project Management;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01002120;BBIE;Appropriating_ Party. Language. Code;A code specifying a language for this appropriating party.;;;Appropriating;Party;;Language;;Code;;;;;;;0;unbounded;Project Management;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01002121;ASBIE;Appropriating_ Party. Specified. Project_ Organization;The project organization specified for this appropriating party.;;;Appropriating;Party;;Specified;;;;Project;Organization;;;;0;1;Project Management;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01002122;ASBIE;Appropriating_ Party. Specified. Project_ Person;The project person specified for this appropriating party.;;;Appropriating;Party;;Specified;;;;Project;Person;;;;0;1;Project Management;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01002123;ASBIE;Appropriating_ Party. Specified. Unstructured_ Address;The unstructured address specified for this appropriating party.;;;Appropriating;Party;;Specified;;;;Unstructured;Address;;;;0;1;Project Management;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01002124;ABIE;Approving_ Party. Details;An approving party is an individual, a group, or a body having a role as an approver.;;;Approving;Party;;;;;;;;;;;;;Project Management;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01002125;BBIE;Approving_ Party. Identification. Identifier;A unique identifier for this approving party.;;;Approving;Party;;Identification;;Identifier;;;;;;;0;unbounded;Project Management;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01002126;BBIE;Approving_ Party. Type. Code;The code specifying the type of approving party.;;;Approving;Party;;Type;;Code;;;;;;;0;1;Project Management;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01002127;BBIE;Approving_ Party. Name. Text;The name, expressed as text, for this approving party.;;;Approving;Party;;Name;;Text;;;;;;;0;1;Project Management;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01002128;BBIE;Approving_ Party. Description. Text;The textual description of this approving party.;;;Approving;Party;;Description;;Text;;;;;;;0;1;Project Management;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01002129;BBIE;Approving_ Party. Access Rights. Code;The code specifying the access rights, such as unlimited, restricted, prohibited, for this approving party.;;;Approving;Party;;Access Rights;;Code;;;;;;;0;1;Project Management;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01002130;BBIE;Approving_ Party. Language. Code;A code specifying a language for this approving party.;;;Approving;Party;;Language;;Code;;;;;;;0;unbounded;Project Management;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01002131;ASBIE;Approving_ Party. Specified. Project_ Organization;The project organization, such as a business or government body, specified as this approving party.;;;Approving;Party;;Specified;;;;Project;Organization;;;;0;1;Project Management;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01002132;ASBIE;Approving_ Party. Specified. Project_ Person;The project person specified as this approving party.;;;Approving;Party;;Specified;;;;Project;Person;;;;0;1;Project Management;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01001316;ABIE;Asset Expense_ Accounting Account. Details;An asset expense accounting account is an account for recording payable amounts to general accounting, cost accounting or budget accounting for a trade.;;;Asset Expense;Accounting Account;;;;;;;;;;;;;Trade;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01001317;BBIE;Asset Expense_ Accounting Account. Identification. Identifier;The unique identifier for this asset expense accounting account.;;;Asset Expense;Accounting Account;;Identification;;Identifier;;;;;;;1;1;Trade;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01001318;BBIE;Asset Expense_ Accounting Account. Set Trigger. Code;The code specifying the set trigger for this asset expense accounting account to be used in response to a specific, or set of, events.;;;Asset Expense;Accounting Account;;Set Trigger;;Code;;;;;;;0;1;Trade;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01001319;BBIE;Asset Expense_ Accounting Account. Type. Code;The code specifying the type of asset expense accounting account such as general(main), secondary, cost accounting, budget account.;;;Asset Expense;Accounting Account;;Type;;Code;;;;;;;0;1;Trade;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01001320;BBIE;Asset Expense_ Accounting Account. Amount Type. Code;The code specifying the type of amount for an asset expense accounting account.;;;Asset Expense;Accounting Account;;Amount Type;;Code;;;;;;;0;1;Trade;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
ADD;UN01002513;ABIE;Authoritative Signatory_ Person. Details;A person who is authorized to sign a document, such as a customs officer or other government official.;;;Authoritative Signatory;Person;;;;;;;;;;;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
ADD;UN01002514;BBIE;Authoritative Signatory_ Person. Name. Text;The name, expressed as text, of this authoritative signatory person.;;;Authoritative Signatory;Person;;Name;;Text;;;;;;;0;1;In All Contexts;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
ADD;UN01002515;ASBIE;Authoritative Signatory_ Person. Attained. Academic_ Qualification;An academic qualification attained by this authoritative signatory person.;;;Authoritative Signatory;Person;;Attained;;;;Academic;Qualification;;;;0;unbounded;In All Contexts;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
ADD;UN01003397;ABIE;Authority_ Tax. Details;The amount of money due to the government or tax authority, according to various pre-defined parameters such as thresholds or income.;;;Authority;Tax;;;;;;;;;;;;;Customer to bank payment initiation;;;In All Contexts;;;8412000;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
ADD;UN01003398;BBIE;Authority_ Tax. Creditor_ Identification. Text;The creditor identification, expressed as text, as assigned by a tax authority.;;;Authority;Tax;Creditor;Identification;;Text;;;;;;;0;1;Customer to bank payment initiation;;;In All Contexts;;;8412000;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
ADD;UN01003399;BBIE;Authority_ Tax. Creditor Tax Type_ Identification. Text;The creditor tax type identification, expressed as text, as assigned by a tax authority.;;;Authority;Tax;Creditor Tax Type;Identification;;Text;;;;;;;0;1;Customer to bank payment initiation;;;In All Contexts;;;8412000;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
ADD;UN01003400;BBIE;Authority_ Tax. Debtor_ Identification. Text;The debtor identification, expressed as text, as assigned by a tax authority.;;;Authority;Tax;Debtor;Identification;;Text;;;;;;;0;1;Customer to bank payment initiation;;;In All Contexts;;;8412000;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
