ADD/CHG/DEL/WDR;Unique UN Assigned ID; ABIE/ BBIE/ ASBIE/ACC/BCC/ASCC/DT/CC/SC;Dictionary Entry Name (auto generated);Definition Mandatory;Working comments and instructions;Publication comments;Object Class Term Qualifier(s);Object Class Term;Property Term Qualifier(s);Property Term;Datatype Qualifier(s);Representation Term;Qualified Data Type UID;Associated Object Class Term Qualifier(s);Associated Object Class;Business Term(s);Usage Rule(s);Sequence Number;Occurrence Min;Occurrence Max;Context Categories Mandatory for BIE's;;;;;;;;;;;;;;;;;;;;;;;;Facets To restrict the set of values of Content Component or Supplementary Components;;;;;;;;;;;;;
;UN01002072;BBIE;Acknowledgement_ Document. Multiple References. Indicator;The indication of whether or not this acknowledgement document has multiple references.;;;Acknowledgement;Document;;Multiple References;;Indicator;;;;;;;0;1;In All Contexts;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01002073;BBIE;Acknowledgement_ Document. Identification. Identifier;The unique identifier of this acknowledgement document.;;;Acknowledgement;Document;;Identification;;Identifier;;;;;;;0;1;In All Contexts;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01002105;BBIE;Acknowledgement_ Document. Type. Code;A code specifying a type of acknowledgement document.;;;Acknowledgement;Document;;Type;Document;Code;UN02000006;;;;;;0;unbounded;In All Contexts;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01002106;BBIE;Acknowledgement_ Document. Name. Text;The name, expressed as text, for this acknowledgement document.;;;Acknowledgement;Document;;Name;;Text;;;;;;;0;1;In All Contexts;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01002107;BBIE;Acknowledgement_ Document. Issue. Date Time;The date or date time value for the issuance of this acknowledgement document.;;;Acknowledgement;Document;;Issue;Date Mandatory;Date Time;UN02000019;;;;;;0;1;In All Contexts;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01002108;BBIE;Acknowledgement_ Document. Report_ Submission. Date Time;The date or date time value of the submission of the report being acknowledged by this acknowledgment document.;;;Acknowledgement;Document;Report;Submission;Date Mandatory;Date Time;UN02000019;;;;;;0;1;In All Contexts;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01002109;BBIE;Acknowledgement_ Document. Report_ Receipt. Date Time;The date or date time value of the receipt of the report being acknowledged by this acknowledgment document.;;;Acknowledgement;Document;Report;Receipt;Date Mandatory;Date Time;UN02000019;;;;;;0;1;In All Contexts;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01002110;BBIE;Acknowledgement_ Document. Control Requirement. Indicator;The indication of whether or not this acknowledgement document has a control requirement.;;;Acknowledgement;Document;;Control Requirement;;Indicator;;;;;;;0;1;In All Contexts;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01002111;BBIE;Acknowledgement_ Document. Creation. Date Time;The date or date time value of the creation of this acknowledgement document.;;;Acknowledgement;Document;;Creation;;Date Time;;;;;;;0;1;In All Contexts;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
CHG;UN01002112;BBIE;Acknowledgement_ Document. Status. Code;A code specifying a status for this acknowledgement document.;;;Acknowledgement;Document;;Status;Status;Code;UN02000047;;;;;;0;unbounded;In All Contexts;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01002113;BBIE;Acknowledgement_ Document. Acknowledgement_ Status. Code;A code specifying an acknowledgment status for this acknowledgement document.;;;Acknowledgement;Document;Acknowledgement;Status;Acknowledgement;Code;UN02000020;;;;;;0;unbounded;In All Contexts;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01002114;BBIE;Acknowledgement_ Document. Item Identification. Identifier;The unique identifier of an item in this acknowledgement document.;;;Acknowledgement;Document;;Item Identification;;Identifier;;;;;;;0;1;In All Contexts;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
ADD;UN01002649;BBIE;Acknowledgement_ Document. Reason_ Information. Text;Reason information, expressed as text, for this acknowledgement document.;;;Acknowledgement;Document;Reason;Information;;Text;;;;;;;0;unbounded;In All Contexts;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
ADD;UN01002650;ASBIE;Acknowledgement_ Document. Reference. Referenced_ Document;A document referenced by this acknowledgement document.;;;Acknowledgement;Document;;Reference;;;;Referenced;Document;;;;0;unbounded;In All Contexts;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
ADD;UN01003372;ABIE;Administration_ Party. Details;The name and country for an administration party.;;;Administration;Party;;;;;;;;;;;;;Customer to bank payment initiation;;;In All Contexts;;;8412000;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
ADD;UN01003373;BBIE;Administration_ Party. Name. Text;The name, expressed as text, of this administration party.;;;Administration;Party;;Name;;Text;;;;;;;0;1;Customer to bank payment initiation;;;In All Contexts;;;8412000;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
ADD;UN01003374;BBIE;Administration_ Party. Country. Identifier;The unique country identifier of this administration party (Reference ISO 3166 and UN/ECE Rec 3).;;;Administration;Party;;Country;;Identifier;;;;;;;0;1;Customer to bank payment initiation;;;In All Contexts;;;8412000;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01001295;ABIE;Advance_ Payment. Details;Advance payment is a prepaid discharge of obligations in respect of funds or securities transferred between two or more parties.;;;Advance;Payment;;;;;;;;;;;;;Trade;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01001296;BBIE;Advance_ Payment. Paid. Amount;The monetary value of the funds or securities paid in this advance payment.;;;Advance;Payment;;Paid;;Amount;;;;;;;1;1;Trade;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01001297;BBIE;Advance_ Payment. Received. Date Time;The date or date time value when an advance payment has been received.;;;Advance;Payment;;Received;Date Mandatory;Date Time;UN02000019;;;;Date mandatory, time optional;;0;1;Trade;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
ADD;UN01002681;ABIE;Agricultural Process_ Condition. Details;A physical state within which an agricultural process takes place, such as weather conditions.;;;Agricultural Process;Condition;;;;;;;;;;;;;Agricultural;;;Agricultural Produce;;;Agricultural;;;Global;;;European, National, Local Regulations;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
ADD;UN01002682;BBIE;Agricultural Process_ Condition. Type. Code;The code specifying the type of agricultural process condition, such as weather condition or soil condition.;;;Agricultural Process;Condition;;Type;;Code;;;;;;;0;1;Agricultural;;;Agricultural Produce;;;Agricultural;;;Global;;;European, National, Local Regulations;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
